subjs	IQ	noseMovie	noseAthlete	noseNobel
subject_1	100	199.78	317.33	415.08
subject_2	57	228.94	261.23	368.76
subject_3	96	316.19	262.32	382.98
subject_4	82	232.23	294.83	328.46
subject_5	89	277.99	288.21	307.44
subject_6	114	267.32	309.15	323.58
subject_7	118	274.71	348.90	407.15
subject_8	106	252.59	303.49	379.30
subject_9	87	236.79	301.87	305.60
subject_10	90	258.83	283.46	301.94
subject_11	112	241.37	301.18	298.14
subject_12	89	217.06	264.10	303.92
subject_13	100	239.07	280.14	343.74
subject_14	114	288.12	297.51	293.90
subject_15	96	253.26	318.34	234.73
subject_16	107	227.16	330.74	347.56
subject_17	89	283.16	305.38	352.82
subject_18	101	279.42	321.07	431.02
subject_19	87	213.18	295.55	396.81
subject_20	75	284.20	257.30	297.00
subject_21	91	263.18	292.68	324.88
subject_22	113	208.86	297.92	317.44
subject_23	89	233.46	305.04	340.52
subject_24	90	289.68	262.76	384.28
subject_25	91	213.68	294.04	315.68
subject_26	104	248.41	309.28	356.39
subject_27	126	271.90	358.75	339.46
subject_28	100	238.68	300.26	373.71
subject_29	71	267.19	273.92	383.42
subject_30	74	237.23	323.02	306.98
subject_31	69	226.39	250.35	402.70
subject_32	95	229.41	288.37	343.67
subject_33	95	216.76	322.17	240.12
subject_34	96	255.61	286.58	303.56
subject_35	115	252.91	333.09	353.73
subject_36	81	277.28	291.52	417.73
subject_37	128	257.14	316.19	417.44
subject_38	89	267.61	290.57	324.98
subject_39	72	221.46	279.98	346.11
subject_40	100	244.15	315.61	299.23
